date,zika_unscaled,zika_monthly,isPartial,scale,zika
2015-05-01,0,,,,
2015-05-02,0,,,,
2015-05-03,0,0.0,False,0.0,0.0
2015-05-04,0,0.0,,0.0,0.0
2015-05-05,0,0.0,,0.0,0.0
2015-05-06,0,0.0,,0.0,0.0
2015-05-07,0,0.0,,0.0,0.0
2015-05-08,0,0.0,,0.0,0.0
2015-05-09,0,0.0,,0.0,0.0
2015-05-10,0,3.0,False,0.03,0.0
2015-05-11,0,3.0,,0.03,0.0
2015-05-12,0,3.0,,0.03,0.0
2015-05-13,0,3.0,,0.03,0.0
2015-05-14,0,3.0,,0.03,0.0
2015-05-15,82,3.0,,0.03,2.46
2015-05-16,100,3.0,,0.03,3.0
2015-05-17,0,0.0,False,0.0,0.0
2015-05-18,0,0.0,,0.0,0.0
2015-05-19,0,0.0,,0.0,0.0
2015-05-20,0,0.0,,0.0,0.0
2015-05-21,0,0.0,,0.0,0.0
2015-05-22,0,0.0,,0.0,0.0
2015-05-23,0,0.0,,0.0,0.0
2015-05-24,0,0.0,False,0.0,0.0
2015-05-25,0,0.0,,0.0,0.0
2015-05-26,0,0.0,,0.0,0.0
2015-05-27,0,0.0,,0.0,0.0
2015-05-28,0,0.0,,0.0,0.0
2015-05-29,0,0.0,,0.0,0.0
2015-05-30,0,0.0,,0.0,0.0
2015-05-31,0,3.0,False,0.03,0.0
2015-06-01,0,3.0,,0.03,0.0
2015-06-02,0,3.0,,0.03,0.0
2015-06-03,0,3.0,,0.03,0.0
2015-06-04,0,3.0,,0.03,0.0
2015-06-05,0,3.0,,0.03,0.0
2015-06-06,81,3.0,,0.03,2.4299999999999997
2015-06-07,0,10.0,False,0.1,0.0
2015-06-08,79,10.0,,0.1,7.9
2015-06-09,0,10.0,,0.1,0.0
2015-06-10,100,10.0,,0.1,10.0
2015-06-11,35,10.0,,0.1,3.5
2015-06-12,36,10.0,,0.1,3.6
2015-06-13,0,10.0,,0.1,0.0
2015-06-14,50,5.0,False,0.05,2.5
